user_id,item_id,item_top_tag1,item_top_tag2,item_top_tag3
0,0,0,0,0
0,1,1,1,1
0,2,2,2,0
0,3,2,3,2
0,4,3,4,3
0,5,4,5,4
0,6,5,6,5
0,7,1,7,6
0,8,2,8,7
1,9,1,3,5
1,10,1,3,7
1,11,1,9,8
1,12,6,9,6
1,13,6,9,6
1,14,1,10,6
1,15,1,9,6
1,16,1,9,8
2,17,4,5,4
2,18,7,0,9
2,19,7,0,10
2,20,7,2,1
2,21,7,5,11
2,22,7,0,12
2,23,8,11,13
2,24,1,1,1
2,25,9,12,3
2,26,10,13,14
2,27,11,14,15
2,28,11,15,7
2,29,12,11,16
2,30,13,16,9
2,31,9,17,6
2,32,14,10,6
2,33,7,18,17
2,34,15,19,7
2,35,16,20,18
2,36,8,21,19
2,37,11,15,19
2,38,7,8,6
2,39,1,8,7
2,40,12,11,3
2,41,17,10,20
2,42,18,13,6
2,43,12,22,21
2,44,8,23,6
2,45,19,10,20
2,46,12,17,3
2,47,4,5,22
2,48,20,24,18
2,49,12,25,3
2,50,12,26,16
2,51,13,16,9
2,52,21,17,3
2,53,22,16,6
2,54,23,27,20
2,55,19,28,20
2,56,24,13,16
2,57,8,29,6
2,58,25,30,23
2,59,16,31,19
2,60,7,21,13
2,61,26,2,5
2,62,21,11,3
2,63,2,3,24
2,64,22,32,6
2,65,8,15,18
2,66,17,10,6
2,67,27,33,25
2,68,28,34,23
2,69,17,35,26
2,70,24,13,1
2,71,10,13,22
2,72,29,10,6
3,18,7,0,9
3,27,11,14,15
3,73,20,21,6
3,74,30,14,18
3,75,20,36,27
3,76,31,14,5
3,77,14,37,6
3,78,30,21,19
3,79,32,14,18
3,80,20,24,28
3,81,16,20,18
3,82,33,10,29
3,83,34,14,7
3,84,16,20,6
3,85,35,21,30
3,86,20,38,18
3,87,3,14,31
3,88,36,20,10
3,89,36,17,3
3,90,8,11,32
3,91,37,10,33
3,92,8,21,15
3,93,20,13,34
3,94,3,39,34
3,95,14,10,6
3,96,4,37,6
3,97,38,10,35
3,98,8,22,4
3,99,20,24,6
3,100,20,22,6
3,101,39,14,6
3,102,38,24,36
3,103,20,10,37
4,104,14,10,6
4,105,14,10,6
4,106,3,14,11
5,107,12,40,38
5,108,12,41,34
5,109,12,41,3
5,110,40,40,31
5,111,40,14,4
5,112,33,10,38
6,113,41,42,20
6,114,8,21,39
6,115,42,21,19
6,116,20,24,3
6,117,12,40,40
6,118,43,43,20
6,119,11,10,3
6,120,14,44,6
6,121,14,10,6
6,122,44,45,34
6,123,44,40,41
6,124,45,44,42
6,125,8,46,15
6,126,44,45,34
6,127,46,44,41
6,128,14,10,31
6,129,14,10,6
6,130,41,42,42
6,131,14,47,6
6,132,14,10,6
6,133,14,10,6
6,134,44,10,6
6,135,41,45,6
6,136,41,42,41
6,137,14,10,6
6,138,14,42,6
6,139,14,10,6
6,140,8,21,43
6,141,8,21,15
6,142,41,10,3
6,143,14,10,6
6,144,14,10,6
6,145,40,10,6
6,146,47,14,43
6,147,30,14,18
6,148,30,14,18
6,149,30,29,3
6,150,11,14,15
6,151,8,34,6
6,152,48,34,18
6,153,14,47,20
6,154,12,48,34
6,55,19,28,20
6,155,14,47,6
6,156,8,21,32
6,157,49,14,18
6,158,19,28,18
6,159,8,49,44
6,160,20,21,45
6,161,11,15,3
6,162,50,19,16
6,163,20,14,6
6,164,12,50,6
6,165,8,19,31
6,166,51,51,22
6,167,8,15,18
6,168,11,10,6
6,169,44,10,6
6,170,44,22,41
6,171,41,42,20
6,172,41,45,46
6,173,37,10,6
6,174,52,10,6
6,175,44,45,47
6,176,17,34,48
